Date (YMD),Advancers,Decliners,Unchanged,RANA,19-day EMA,39-day EMA,Oscillator,Index
19860619,684,853,438,-109.9544567339,-34.9709222501,-18.5394686082,-16.4314536419,2045.0426111827
19860620,761,889,329,-77.5757575758,-39.2314057827,-21.4912830566,-17.7401227261,2027.3024884566
19860623,727,894,346,-103.0228254164,-45.6105477461,-25.5678601746,-20.0426875715,2007.2598008851
19860624,1061,520,406,342.1884882985,-6.8306441416,-7.1800427509,0.3493986093,2007.6091994944
19860625,969,609,399,228.1368821293,16.6661084855,4.5858034931,12.0803049924,2019.6895044868
19860626,737,772,439,-23.1941683234,12.6800808046,3.1968049022,9.4832759023,2029.1727803892
19860627,882,664,413,141.0090556274,25.5129782869,10.0874174385,15.4255608484,2044.5983412375
19860630,1033,568,379,290.4434728295,52.0060277411,24.1052202081,27.9008075331,2072.4991487706
19860701,899,659,437,154.0436456996,62.209789537,30.6021414826,31.6076480543,2104.106796825
19860702,857,736,401,75.9573132454,63.5845419078,32.8699000708,30.7146418371,2134.821438662
19860703,657,872,454,-140.6147809026,43.1646096268,24.1956660221,18.9689436047,2153.7903822667
19860707,263,1469,238,-696.3048498845,-30.7823363243,-11.8293597732,-18.9529765511,2134.8374057156
19860708,298,1415,297,-652.0723876241,-92.9113414543,-43.8415111658,-49.0698302885,2085.767575427
19860709,1024,546,410,304.4585987261,-53.1743474363,-26.4265056712,-26.7478417651,2059.0197336619
19860710,818,758,404,38.0710659898,-44.0498060937,-23.2016270881,-20.8481790055,2038.1715546564
19860711,874,711,403,102.8391167192,-29.3609138124,-16.8995898978,-12.4613239146,2025.7102307418
19860714,424,1253,304,-494.3351222421,-75.8583346553,-40.771366515,-35.0869681404,1990.6232626014
19860715,430,1265,313,-492.6253687316,-117.535038063,-63.3640666258,-54.1709714372,1936.4522911643
19860716,925,680,389,152.6479750779,-90.5167367489,-52.5634645406,-37.9532722083,1898.499018956
19860717,902,649,420,163.1205673759,-65.1530063364,-41.7792629448,-23.3737433916,1875.1252755644
19860718,688,862,406,-112.2580645161,-69.8635121544,-45.3032030234,-24.560309131,1850.5649664334
19860721,707,832,444,-81.2215724496,-70.9993181839,-47.0991214947,-23.9001966892,1826.6647697441
19860722,975,651,366,199.2619926199,-43.9731871035,-34.7810657889,-9.1921213146,1817.4726484296
19860723,855,740,386,72.1003134796,-32.3658370452,-29.4369968255,-2.9288402197,1814.5438082099
19860724,648,923,400,-175.0477402928,-46.63402737,-36.7175339989,-9.9164933711,1804.6273148388
19860725,970,593,407,241.2028150992,-17.8503431231,-22.821516544,4.9711734209,1809.5984882597
19860728,378,1269,338,-540.9836065574,-70.1636694665,-48.7296210446,-21.4340484218,1788.1644398379
19860729,529,1067,384,-337.0927318296,-96.8565757028,-63.1477765839,-33.7087991189,1754.455640719
19860730,780,820,371,-25,-89.6709181325,-61.2403877547,-28.4305303778,1726.0251103412
19860731,695,884,392,-119.696010133,-92.6734273326,-64.1631688736,-28.5102584589,1697.5148518822
19860801,670,845,423,-115.5115511551,-94.9572397148,-66.7305879877,-28.2266517271,1669.2882001551
19860804,651,920,382,-171.2285168682,-102.5843674302,-71.9554844317,-30.6288829984,1638.6593171566
19860805,908,667,389,153.0158730159,-77.0243433856,-60.7069165593,-16.3174268262,1622.3418903304
19860806,693,862,413,-108.6816720257,-80.1900762496,-63.1056543327,-17.0844219169,1605.2574684135
19860807,881,670,408,136.0412637008,-58.5669422545,-53.148308431,-5.4186338236,1599.83883459
19860808,795,727,427,44.6780551905,-48.24244251,-48.2569902499,0.0145477399,1599.8533823298
19860811,1234,402,339,508.5574572127,7.4375474622,-20.4162678768,27.853815339,1627.7071976689
19860812,1171,484,352,415.1057401813,48.2043667342,1.3598325261,46.844534208,1674.5517318769
19860813,1121,510,363,374.6167995095,80.8456100117,20.0226808753,60.8229291364,1735.3746610133
19860814,1030,554,398,300.5050505051,102.811554061,34.0467993568,68.7647547042,1804.1394157175
19860815,895,683,390,134.3472750317,105.9651261581,39.0618231405,66.9033030176,1871.0427187351
19860818,786,828,372,-26.0223048327,92.766383059,35.8076167419,56.9587663171,1928.0014850522
19860819,760,863,391,-63.4627233518,77.1434724179,30.8440997372,46.2993726807,1974.300857733
19860820,1087,547,388,330.4773561812,102.4768607942,45.8257625594,56.6510982349,2030.9519559678
19860821,922,701,416,136.1675908811,105.8459338029,50.3428539755,55.5030798275,2086.4550357953
19860822,846,738,439,68.1818181818,102.0795222408,51.2348021858,50.844720055,2137.2997558503
19860825,568,1056,377,-300.4926108374,61.822308933,33.6484315346,28.1738773984,2165.4736332487
19860826,1151,521,358,376.7942583732,93.319503877,50.8057228766,42.5137810005,2207.9874142492
19860827,878,729,427,92.7193528314,93.2594887725,52.9014043743,40.3580843982,2248.3454986473
19860828,829,757,427,45.3972257251,88.4732624677,52.5261954418,35.9470670259,2284.2925656732
19860829,829,710,470,77.3229369721,87.3582299181,53.7660325183,33.5921973998,2317.884763073
19860902,583,1070,371,-294.6158499698,49.1608219294,36.3469383939,12.8138835354,2330.6986466084
19860903,826,814,389,7.3170731707,44.9764470535,34.8954451328,10.0810019207,2340.7796485292
19860904,1289,435,307,495.3596287703,90.0147652252,57.9186543147,32.0961109105,2372.8757594397
19860905,547,1165,310,-360.9813084112,44.9151578615,36.9736561784,7.9415016832,2380.8172611229
19860908,539,1103,379,-343.4835566382,6.0752864116,17.9507955375,-11.875509126,2368.9417519969
19860909,656,995,383,-205.3301029679,-15.0652525264,6.7867506123,-21.8520031386,2347.0897488582
19860910,636,979,401,-212.3839009288,-34.7971173666,-4.1717819648,-30.6253354018,2316.4644134564
19860911,168,1695,182,-819.6457326892,-113.2819788989,-44.945479501,-68.3364993979,2248.1279140585
19860912,409,1347,283,-534.1685649203,-155.370637501,-69.406633772,-85.964003729,2162.1639103295
19860915,801,837,380,-21.978021978,-142.0313759487,-67.0352031823,-74.9961727664,2087.167737563
19860916,646,940,413,-185.3720050441,-146.3654388583,-72.9520432754,-73.4133955829,2013.7543419801
19860917,982,627,386,220.6339341206,-109.6655015604,-58.2727444056,-51.3927571548,1962.3615848253
19860918,704,821,457,-76.7213114754,-106.3710825519,-59.1951727591,-47.1759097928,1915.1856750325
19860919,775,793,406,-11.4795918367,-96.8819334804,-56.809393713,-40.0725397674,1875.1131352651
19860922,1130,468,366,414.2678347935,-45.766956653,-33.2555322876,-12.5114243654,1862.6017108997
19860923,947,638,413,194.952681388,-21.6949928489,-21.8451216038,0.150128755,1862.7518396547
19860924,918,643,420,176.1691223575,-1.9085813282,-11.9444094058,10.0358280775,1872.7876677322
19860925,408,1202,339,-493.1677018634,-51.0344933818,-36.0055740287,-15.0289193531,1857.7587483791
19860926,776,734,459,27.8145695364,-43.1495870899,-32.8145668504,-10.3350202395,1847.4237281396
19860929,387,1203,398,-513.2075471698,-90.1553830979,-56.8342158664,-33.3211672316,1814.102560908
19860930,1012,543,442,301.6077170418,-50.979073084,-38.912119221,-12.066953863,1802.0356070451
19861001,1041,559,374,301.25,-15.7561657756,-21.9040132599,6.1478474844,1808.1834545294
19861002,807,752,425,35.279025016,-10.6526466964,-19.0448613461,8.3922146497,1816.5756691791
19861003,758,776,464,-11.7340286832,-10.7607848951,-18.679319713,7.9185348179,1824.494203997
19861006,829,693,436,89.3561103811,-0.7490953675,-13.2775482083,12.5284528408,1837.0226568378
19861007,724,804,467,-52.3560209424,-5.909787925,-15.231471845,9.32168392,1846.3443407579
19861008,964,585,449,244.673983215,19.148589189,-2.236199092,21.384788281,1867.7291290389
19861009,796,731,448,42.5671250819,21.4904427783,0.0039671167,21.4864756616,1889.2156047005
19861010,743,773,448,-19.7889182058,17.3625066799,-0.9856771494,18.3481838293,1907.5637885298
19861013,729,642,476,63.4573304158,21.9719890535,2.2364732288,19.7355158246,1927.2993043544
19861014,676,819,464,-95.652173913,10.2095727568,-2.6579591282,12.8675318851,1940.1668362395
19861015,1166,438,398,453.8653366584,54.575149147,20.1682056611,34.4069434859,1974.5737797254
19861016,853,734,407,74.9842470069,56.616058933,22.9090077284,33.7070512046,2008.2808309301
19861017,696,828,482,-86.6141732283,42.2930357169,17.4328486805,24.8601870363,2033.1410179664
19861020,447,1109,415,-425.4498714653,-4.4812550014,-4.7112873268,0.2300323254,2033.3710502918
19861021,788,737,477,33.4426229508,-0.6888672061,-2.8035918129,2.1147246067,2035.4857748985
